Time (msec),A/F Correction #3 (32-bit ECU) (%),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Fine Learning Knock Correction (degrees),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Learned Ignition Timing (degrees),Manifold Absolute Pressure (bar),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Roughness Monitor Cylinder #1 (misfire count),Roughness Monitor Cylinder #2 (misfire count),Roughness Monitor Cylinder #3 (misfire count),Roughness Monitor Cylinder #4 (misfire count),Vehicle Speed (kph)
0,-0.31,0.24,698,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
63,-0.31,0.24,688,0.00,33.33,15.50,1.03,0.00,0.300,2.78,0.00,0,0,0,0,0
125,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
188,-0.31,0.24,706,0.00,33.33,14.50,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
250,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.79,0.00,0,0,0,0,0
313,-0.31,0.24,694,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
391,-0.31,0.24,703,0.00,33.33,16.50,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
438,-0.31,0.24,695,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
500,-0.31,0.24,687,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
563,-0.31,0.24,694,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
625,-0.31,0.24,704,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
688,-0.31,0.24,701,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
751,-0.31,0.24,694,0.00,33.33,15.00,1.04,0.00,0.300,2.80,0.00,0,0,0,0,0
813,-0.31,0.24,690,0.00,33.33,16.00,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
876,-0.31,0.24,699,0.00,33.33,16.00,1.04,0.00,0.300,2.75,0.00,0,0,0,0,0
938,-0.31,0.24,697,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
1001,-0.31,0.24,694,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
1063,-0.31,0.24,702,0.00,33.33,15.00,1.05,0.00,0.300,2.79,0.00,0,0,0,0,0
1126,-0.31,0.24,710,0.00,33.33,14.00,1.06,0.00,0.300,2.79,0.00,0,0,0,0,0
1188,-0.31,0.24,709,0.00,33.33,14.00,1.06,0.00,0.300,2.79,0.00,0,0,0,0,0
1251,-0.31,0.23,702,0.00,33.33,15.00,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
1313,-0.31,0.23,710,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
1376,-0.31,0.24,716,0.00,33.33,13.50,1.07,0.00,0.300,2.80,0.00,0,0,0,0,0
1454,-0.31,0.24,705,0.00,33.33,14.50,1.05,0.00,0.300,2.81,0.00,0,0,0,0,0
1516,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
1579,-0.31,0.24,708,0.00,33.33,14.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
1641,-0.31,0.24,710,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
1704,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
