Time (msec),A/F Correction #1 (%),A/F Correction #3 (16-bit ECU) (%),A/F Correction #3 (32-bit ECU) (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),A/F Sensor #1 Current (mA),A/F Sensor #1 Resistance (ohms),Accelerator Pedal Angle (%),Battery Voltage (V),Engine Speed (rpm),Fine Learning Knock Correction (degrees),Fuel Consumption (Est.) (l/100km),Fuel Pump Duty (%),IAM (multiplier),Intake Air Temperature (C),Primary Wastegate Duty Cycle (%),Vehicle Speed (kph)
0,0.78,-46.88,0.31,-0.78,15.04,0.00,31,0.00,14.24,709,0.00,0.00,33.33,0.8750,33,0.00,0
188,0.78,-46.88,0.31,-0.78,15.04,0.12,31,0.00,14.32,714,0.00,0.00,33.33,0.8750,33,0.00,0
406,1.56,-46.88,0.31,-0.78,15.27,0.12,31,0.00,14.32,718,0.00,0.00,33.33,0.8750,33,0.00,0
610,2.34,-46.88,0.31,-0.78,15.39,0.12,31,0.00,14.40,699,0.00,0.00,33.33,0.8750,33,0.00,0
813,3.12,-46.88,0.31,-0.78,15.62,0.12,31,0.00,14.56,709,0.00,108.93,33.33,0.8750,33,0.00,1
1016,4.69,-46.88,0.31,-0.78,15.73,0.12,31,0.00,14.24,712,0.00,106.74,33.33,0.8750,33,0.00,1
1203,5.47,-46.88,0.31,-0.78,15.73,0.12,31,0.00,14.16,716,0.00,54.87,33.33,0.8750,33,0.00,2
1407,5.47,-46.88,0.31,-0.78,15.73,0.12,31,1.57,14.24,726,0.00,53.37,33.33,0.8750,33,0.00,2
1625,5.47,-46.88,0.31,-0.78,15.50,0.12,31,3.53,14.32,725,0.00,73.84,33.33,0.8750,33,0.00,2
1829,6.25,-46.88,0.31,-0.78,15.27,0.12,31,3.53,14.40,794,0.00,54.51,33.33,0.8750,33,0.00,3
2032,6.25,-46.88,0.31,-0.78,15.04,0.12,31,3.92,14.24,877,0.00,46.81,33.33,0.8750,33,0.00,3
2235,5.47,-47.66,0.23,0.78,14.70,0.00,31,5.49,14.40,928,0.00,47.66,33.33,0.8750,33,0.00,4
2454,5.47,-46.88,0.31,0.78,14.59,0.00,31,6.67,14.24,980,0.00,61.22,33.33,0.8750,33,0.00,4
2657,6.25,-47.66,0.23,2.34,14.81,0.00,31,7.84,14.40,1078,0.00,65.46,33.33,0.8750,33,0.00,5
2860,7.03,-47.66,0.23,2.34,14.93,0.00,31,7.84,14.24,1226,0.00,57.35,33.33,0.8750,33,0.00,5
3063,4.69,-47.66,0.23,2.34,14.36,-0.12,31,7.84,14.24,1298,0.00,58.14,33.33,0.8750,33,0.00,6
3266,3.12,-46.88,0.31,2.34,14.01,-0.12,31,33.73,14.16,1327,0.00,54.68,33.33,0.8750,33,0.00,7
3469,1.56,-46.88,0.31,2.34,14.01,-0.12,31,29.02,14.16,1440,0.50,92.60,33.33,0.8750,33,54.90,8
3688,-3.12,-46.09,0.39,2.34,13.67,-0.38,31,2.75,14.16,1816,0.25,47.58,33.33,0.8750,33,0.00,9
3875,-4.69,-45.31,0.47,-0.78,13.55,-0.38,31,0.00,14.08,1573,0.00,16.65,33.33,0.8750,33,0.00,11
4079,-10.94,-46.88,0.31,-0.78,12.63,-0.75,31,0.00,14.48,1380,0.00,11.60,33.33,0.8750,33,0.00,12
4297,-14.06,-46.88,0.31,-0.78,12.40,-0.75,30,0.00,14.32,1170,0.00,11.06,33.33,0.8750,33,0.00,13
4500,-13.28,-46.88,0.31,-0.78,12.98,-0.50,30,0.00,14.32,1048,0.00,10.33,33.33,0.8750,33,0.00,13
4704,-12.50,-46.09,0.39,0.78,13.78,-0.25,30,29.02,14.32,971,0.00,19.04,33.33,0.8750,33,0.00,13
4907,-13.28,-46.09,0.39,2.34,14.36,-0.12,31,0.00,14.32,1087,0.00,29.80,33.33,0.8750,33,0.00,13
5110,-11.72,-47.66,0.23,-0.78,15.04,0.00,31,0.00,14.40,1302,0.00,9.31,33.33,0.8750,33,0.00,13
5313,-13.28,-46.88,0.31,-0.78,14.24,-0.12,31,0.00,14.40,1186,0.00,10.07,33.33,0.8750,33,0.00,13
5516,-14.06,-46.88,0.31,-0.78,14.36,-0.12,31,0.00,14.16,1065,0.00,11.15,33.33,0.8750,33,0.00,13
5719,-13.28,-46.88,0.31,-0.78,14.59,0.00,31,0.00,14.40,978,0.00,10.99,33.33,0.8750,33,0.00,13
5922,-12.50,-46.88,0.31,-0.78,14.93,0.00,31,0.00,14.40,886,0.00,10.81,33.33,0.8750,33,0.00,13
6141,-11.72,-46.88,0.31,-0.78,15.27,0.12,31,0.00,14.40,847,0.00,10.20,33.33,0.8750,33,0.00,13
6344,-10.16,-46.88,0.31,-0.78,15.73,0.12,31,0.00,14.32,826,0.00,9.58,33.33,0.8750,33,0.00,13
6547,-8.59,-46.88,0.31,-0.78,15.96,0.25,31,0.00,14.40,821,0.00,9.03,33.33,0.8750,33,0.00,13
6750,-7.81,-46.88,0.31,-0.78,15.96,0.25,31,0.00,14.40,829,0.00,9.56,33.33,0.8750,33,0.00,12
6954,-7.81,-46.88,0.31,-0.78,15.85,0.12,31,0.00,14.32,823,0.00,9.96,33.33,0.8750,33,0.00,11
7172,-7.03,-46.88,0.31,-0.78,15.73,0.12,31,0.00,14.40,779,0.00,10.31,33.33,0.8750,33,0.00,10
