Time (msec),A/F Correction #1 (%),A/F Correction #3 (32-bit ECU) (%),A/F Sensor #1 (AFR),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Exhaust VVT Advance Angle Left (degrees),Exhaust VVT Advance Angle Right (degrees),IAM (multiplier),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Learned Ignition Timing (degrees),Manifold Relative Pressure (Corrected) (bar),Mass Airflow (g/s),Throttle Opening Angle (%),Vehicle Speed (kph)
0,0.00,0.00,14.70,0.33,950,0.00,3.00,0.6875,19.00,2.03,0.00,0.00,0.00,-0.660,5.35,6.27,0
71,0.00,0.00,14.70,0.34,966,0.00,3.00,0.6875,18.50,2.06,0.00,0.00,0.00,-0.660,5.41,6.27,0
118,0.00,0.00,14.70,0.33,970,0.00,3.00,0.6875,18.00,2.07,0.00,0.00,0.00,-0.660,5.35,6.27,0
196,0.00,0.00,14.70,0.34,968,0.00,3.00,0.6875,17.50,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
259,0.00,0.00,14.70,0.34,974,0.00,3.00,0.6875,17.50,2.08,0.00,0.00,0.00,-0.660,5.41,6.27,0
321,0.00,0.00,14.70,0.34,969,0.00,3.00,0.6875,17.50,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
399,0.00,0.00,14.70,0.34,966,0.00,3.00,0.6875,17.00,2.06,0.00,0.00,0.00,-0.660,5.45,6.27,0
462,0.00,0.00,14.70,0.34,958,0.00,3.00,0.6875,17.50,2.04,0.00,0.00,0.00,-0.660,5.41,6.27,0
524,0.00,0.00,14.70,0.34,968,0.00,3.00,0.6875,15.50,2.06,0.00,0.00,0.00,-0.660,5.41,6.27,0
600,0.00,0.00,14.70,0.33,969,0.00,3.00,0.6875,16.00,2.07,0.00,0.00,0.00,-0.660,5.48,6.27,0
662,0.00,0.00,14.70,0.33,969,0.00,3.00,0.6875,14.50,2.07,0.00,0.00,0.00,-0.660,5.38,6.27,0
725,0.00,0.00,14.70,0.33,968,0.00,3.00,0.6875,15.50,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
787,0.00,0.00,14.70,0.33,975,0.00,3.00,0.6875,15.50,2.08,0.00,0.00,0.00,-0.660,5.38,6.27,0
865,0.00,0.00,14.70,0.33,982,0.00,3.00,0.6875,16.50,2.10,0.00,0.00,0.00,-0.660,5.41,6.27,0
928,0.00,0.00,14.70,0.33,978,0.00,3.00,0.6875,16.00,2.09,0.00,0.00,0.00,-0.660,5.35,6.27,0
1000,0.00,0.00,14.70,0.33,980,0.00,3.00,0.6875,16.00,2.09,0.00,0.00,0.00,-0.660,5.38,6.27,0
1063,0.00,0.00,14.70,0.33,984,0.00,3.00,0.6875,16.00,2.10,0.00,0.00,0.00,-0.660,5.41,6.27,0
1125,0.00,0.00,14.70,0.33,988,0.00,3.00,0.6875,15.00,2.11,0.00,0.00,0.00,-0.670,5.41,6.27,0
1187,0.00,0.00,14.70,0.33,975,0.00,3.00,0.6875,13.50,2.08,0.00,0.00,0.00,-0.670,5.41,6.27,0
1266,0.00,0.00,14.70,0.34,965,0.00,3.00,0.6875,15.00,2.06,0.00,0.00,0.00,-0.670,5.41,6.27,0
1328,0.00,0.00,14.70,0.36,960,0.00,3.00,0.6875,15.50,2.05,0.00,0.00,0.00,-0.670,5.38,6.27,0
1391,0.00,0.00,14.70,0.34,964,0.00,3.00,0.6875,16.00,2.06,0.00,0.00,0.00,-0.670,5.41,6.27,0
1469,0.00,0.00,14.70,0.33,961,0.00,3.00,0.6875,16.50,2.05,0.00,0.00,0.00,-0.670,5.41,6.27,0
1547,0.00,0.00,14.70,0.33,962,0.00,3.00,0.6875,16.50,2.05,0.00,0.00,0.00,-0.660,5.35,6.27,0
1594,0.00,0.00,14.70,0.33,961,0.00,3.00,0.6875,17.50,2.05,0.00,0.00,0.00,-0.660,5.38,6.27,0
1672,0.00,0.00,14.70,0.33,972,0.00,3.00,0.6875,16.50,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
1734,0.00,0.00,14.70,0.34,970,0.00,3.00,0.6875,18.00,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
1797,0.00,0.00,14.70,0.34,968,0.00,3.00,0.6875,17.00,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
1859,0.00,0.00,14.70,0.33,977,0.00,3.00,0.6875,17.00,2.08,0.00,0.00,0.00,-0.660,5.41,6.27,0
1937,0.00,0.00,14.70,0.34,977,0.00,3.00,0.6875,16.00,2.08,0.00,0.00,0.00,-0.660,5.38,6.27,0
2000,0.00,0.00,14.70,0.33,977,0.00,3.00,0.6875,15.00,2.08,0.00,0.00,0.00,-0.660,5.41,6.27,0
2062,0.00,0.00,14.70,0.34,962,0.00,3.00,0.6875,15.50,2.05,0.00,0.00,0.00,-0.660,5.38,6.27,0
2125,0.00,0.00,14.70,0.34,966,0.00,3.00,0.6875,16.00,2.06,0.00,0.00,0.00,-0.660,5.41,6.27,0
2203,0.00,0.00,14.70,0.36,954,0.00,3.00,0.6875,17.50,2.03,0.00,0.00,0.00,-0.660,5.41,6.27,0
2266,0.00,0.00,14.70,0.33,968,0.00,3.00,0.6875,16.00,2.07,0.00,0.00,0.00,-0.660,5.35,6.27,0
